year,month,site,prec,,Source:
1995,5,2,105,,
1995,6,2,107,,
1995,7,2,71,,
1995,8,2,34,,
1995,9,2,30,,
1995,10,2,5,,
1995,11,2,12.45,,
1995,12,2,1.52,,
1996,1,2,17.02,,
1996,2,2,3.81,,
1996,3,2,17.02,,
1996,4,2,28.19,,
1996,5,2,98.04,,
1996,6,2,48.01,,
1996,7,2,156.72,,
1996,8,2,73.91,,
1996,9,2,24.13,,
1996,10,2,,,
1996,11,2,7.11,,
1996,12,2,2.29,,
1997,1,2,1.52,,
1997,2,2,4.57,,
1997,3,2,9.14,,
1997,4,2,24.64,,
1997,5,2,58.17,,
1997,6,2,74.42,,
1997,7,2,79.5,,
1997,8,2,15.24,,
1997,9,2,11.43,,
1997,10,2,35.56,,
1997,11,2,0.51,,
1997,12,2,4.32,,
1998,1,2,3.302,,
1998,2,2,17.78,,
1998,3,2,10.414,,
1998,4,2,19.05,,
1998,5,2,52.324,,
1998,6,2,23.876,,
1998,7,2,191.262,,
1998,8,2,55.118,,
1998,9,2,17.526,,
1998,10,2,32.512,,
1998,11,2,19.812,,
1998,12,2,0,,
1999,1,2,7.366,,
1999,2,2,5.334,,
1999,3,2,17.78,,
1999,4,2,108.06,,
1999,5,2,56.64,,
1999,6,2,56.64,,
1999,7,2,25.4,,
1999,8,2,139.7,,
1999,9,2,26.67,,
1999,10,2,7.36,,
1999,11,2,2.95,,
1999,12,2,9.398,,
2000,1,2,13.462,,
2000,2,2,16.764,,
2000,3,2,26.47,,
2000,4,2,38.61,,
2000,5,2,15.75,,
2000,6,2,45.72,,
2000,7,2,61.72,,
2000,8,2,57.62,,
2000,9,2,9.39,,
2000,10,2,32.77,,
2000,11,2,2.03,,
2000,12,2,3.302,,
2001,1,2,10.16,,
2001,2,2,10.16,,
2001,3,2,14.986,,
2001,4,2,18.034,,
2001,5,2,74.93,,
2001,6,2,16.764,,
2001,7,2,116.078,,
2001,8,2,19.558,,
2001,9,2,35.306,,
2001,10,2,9.652,,
2001,11,2,14.732,,
2001,12,2,5.842,,
2002,1,2,9.652,,
2002,2,2,3.302,,
2002,3,2,13.208,,
2002,4,2,13.97,,
2002,5,2,8.636,,
2002,6,2,35.052,,
2002,7,2,6.35,,
2002,8,2,76.708,,
2002,9,2,20.828,,
2002,10,2,28.956,,
2002,11,2,5.842,,
2002,12,2,0.762,,
2003,1,2,10.16,,
2003,2,2,10.16,,
2003,3,2,32.258,,
2003,4,2,30.734,,
2003,5,2,87.63,,
2003,6,2,103.124,,
2003,7,2,51.308,,
2003,8,2,25.4,,
2003,9,2,9.398,,
2003,10,2,0,,
2003,11,2,1.778,,
2003,12,2,0,,
2004,1,2,0,,
2004,2,2,0,,
2004,3,2,11.938,,
2004,4,2,27.94,,
2004,5,2,49.784,,
2004,6,2,62.738,,
2004,7,2,23.368,,
2004,8,2,40.386,,
2004,9,2,32.004,,
2004,10,2,11.938,,
2004,11,2,26.162,,
2004,12,2,3.302,,
2005,1,2,0.762,,
2005,2,2,1.524,,
2005,3,2,11.938,,
2005,4,2,27.94,,
2005,5,2,49.784,,
2005,6,2,91.44,,
2005,7,2,30.48,,
2005,8,2,88.9,,
2005,9,2,0,,
2005,10,2,91.44,,
2005,11,2,7.62,,
2005,12,2,0,,
2006,1,2,5.588,,
2006,2,2,0.254,,
2006,3,2,3.556,,
2006,4,2,14.224,,
2006,5,2,36.068,,
2006,6,2,72.39,,
2006,7,2,49.022,,
2006,8,2,39.624,,
2006,9,2,21.082,,
2006,10,2,57.912,,
2006,11,2,0.254,,
2006,12,2,1.778,,
2007,1,2,0.254,,
2007,2,2,4.318,,
2007,3,2,5.334,,
2007,4,2,60.96,,
2007,5,2,39.624,,
2007,6,2,60.198,,
2007,7,2,20.828,,
2007,8,2,39.116,,
2007,9,2,41.91,,
2007,10,2,13.208,,
2007,11,2,3.81,,
2007,12,2,13.716,,
2008,1,2,2.794,,
2008,2,2,8.128,,
2008,3,2,7.112,,
2008,4,2,21.336,,
2008,5,2,30.226,,
2008,6,2,48.26,,
2008,7,2,96.266,,
2008,8,2,176.022,,
2008,9,2,9.144,,
2008,10,2,77.216,,
2008,11,2,7.112,,
2008,12,2,3.048,,
2009,1,2,0.508,,
2009,2,2,12.192,,
2009,3,2,9.906,,
2009,4,2,63.246,,
2009,5,2,45.974,,
2009,6,2,82.296,,
2009,7,2,121.92,,
2009,8,2,89.662,,
2009,9,2,48.514,,
2009,10,2,42.164,,
2009,11,2,3.556,,
2009,12,2,0.508,,
1985,1,3,10.41,,
1985,2,3,1.27,,
1985,3,3,12.95,,
1985,4,3,37.34,,
1985,5,3,9.14,,
1985,6,3,13.46,,
1985,7,3,76.2,,
1985,8,3,38.86,,
1985,9,3,129.02,,
1985,10,3,29.47,,
1985,11,3,9.15,,
1985,12,3,1.27,,
1986,1,3,0,,
