id,date,est_date,time_point,year,month,season,phase,exp_year,julian,dss,site,slope,fert,treat,strip,rot_phs,comb_id,man_id,crop_id,crop,TOY,seed,seed_rate,n_added,dclass,d_from,d_to,bd,c_conc,soc,n_conc,sn,rep
,,,,1986,,,,,,,1,2,,10,7,,,,,,,,,,2,2.5,5,1.28,0.817,2.6144,0.0843,0.26976,1
,,,,1986,,,,,,,1,2,,10,7,,,,,,,,,,3,5,10,1.43,0.886,6.3349,0.0906,0.64779,1
,,,,1986,,,,,,,1,2,,10,7,,,,,,,,,,4,10,20,1.34,0.702,9.4068,0.0867,1.16178,1
,,,,1986,,,,,,,1,3,,10,7,,,,,,,,,,1,0,2.5,1.15,1.047,3.010125,0.1062,0.305325,1
,,,,1986,,,,,,,1,3,,10,7,,,,,,,,,,2,2.5,5,1.17,1.369,4.004325,0.0711,0.2079675,1
,,,,1986,,,,,,,1,3,,10,7,,,,,,,,,,3,5,10,1.31,1.139,7.46045,0.0945,0.618975,1
,,,,1986,,,,,,,1,3,,10,7,,,,,,,,,,4,10,20,1.47,0.643,9.4521,0.1023,1.50381,1
,,,,1986,,,,,,,1,1,,11,8,,,,,,,,,,1,0,2.5,1.16,0.76,2.204,0.0522,0.15138,1
,,,,1986,,,,,,,1,1,,11,8,,,,,,,,,,2,2.5,5,1.17,0.76,2.223,0.0577,0.1687725,1
,,,,1986,,,,,,,1,1,,11,8,,,,,,,,,,3,5,10,1.53,0.66,5.049,0.0569,0.435285,1
,,,,1986,,,,,,,1,1,,11,8,,,,,,,,,,4,10,20,1.41,0,0,0.0522,0.73602,1
,,,,1986,,,,,,,1,2,,11,8,,,,,,,,,,1,0,2.5,1.3,0.45,1.4625,0.0017,0.005525,1
,,,,1986,,,,,,,1,2,,11,8,,,,,,,,,,2,2.5,5,1.28,0.74,2.368,0.0715,0.2288,1
,,,,1986,,,,,,,1,2,,11,8,,,,,,,,,,3,5,10,1.43,0.72,5.148,0.0281,0.200915,1
,,,,1986,,,,,,,1,2,,11,8,,,,,,,,,,4,10,20,1.34,0,0,0.0065,0.0871,1
,,,,1986,,,,,,,1,3,,11,8,,,,,,,,,,1,0,2.5,1.15,1.24,3.565,0.0522,0.150075,1
,,,,1986,,,,,,,1,3,,11,8,,,,,,,,,,2,2.5,5,1.17,1.24,3.627,0.0135,0.0394875,1
,,,,1986,,,,,,,1,3,,11,8,,,,,,,,,,3,5,10,1.31,1.16,7.598,0.0585,0.383175,1
,,,,1986,,,,,,,1,3,,11,8,,,,,,,,,,4,10,20,1.47,0,0,0.1009,1.48323,1
,,,,1986,,,,,,,1,1,,3,9,,,,,,,,,,1,0,2.5,1.16,0.964,2.7956,0.0506,0.14674,1
,,,,1986,,,,,,,1,1,,3,9,,,,,,,,,,2,2.5,5,1.17,0.918,2.68515,0.0156,0.04563,1
,,,,1986,,,,,,,1,1,,3,9,,,,,,,,,,3,5,10,1.53,0.849,6.49485,0.0026,0.01989,1
,,,,1986,,,,,,,1,1,,3,9,,,,,,,,,,4,10,20,1.41,0.826,11.6466,0.0542,0.76422,1
,,,,1986,,,,,,,1,2,,3,9,,,,,,,,,,1,0,2.5,1.3,1.147,3.72775,0.0299,0.097175,1
,,,,1986,,,,,,,1,2,,3,9,,,,,,,,,,2,2.5,5,1.28,0.918,2.9376,0.0001,0.00032,1
,,,,1986,,,,,,,1,2,,3,9,,,,,,,,,,3,5,10,1.43,0.849,6.07035,0.0061,0.043615,1
,,,,1986,,,,,,,1,2,,3,9,,,,,,,,,,4,10,20,1.34,0,0,0,0,1
,,,,1986,,,,,,,1,3,,3,9,,,,,,,,,,1,0,2.5,1.15,1.812,5.2095,0.0818,0.235175,1
,,,,1986,,,,,,,1,3,,3,9,,,,,,,,,,2,2.5,5,1.17,1.583,4.630275,0.0939,0.2746575,1
,,,,1986,,,,,,,1,3,,3,9,,,,,,,,,,3,5,10,1.31,1.377,9.01935,0.089,0.58295,1
,,,,1986,,,,,,,1,3,,3,9,,,,,,,,,,4,10,20,1.47,0,0,0,0,1
,,,,1986,,,,,,,1,1,,6,10,,,,,,,,,,1,0,2.5,1.16,1.033,2.9957,0.0448,0.12992,1
,,,,1986,,,,,,,1,1,,6,10,,,,,,,,,,2,2.5,5,1.17,0.895,2.617875,0.0409,0.1196325,1
,,,,1986,,,,,,,1,1,,6,10,,,,,,,,,,3,5,10,1.53,0.826,6.3189,0.0468,0.35802,1
,,,,1986,,,,,,,1,1,,6,10,,,,,,,,,,4,10,20,1.41,0.711,10.0251,0.0461,0.65001,1
,,,,1986,,,,,,,1,2,,6,10,,,,,,,,,,1,0,2.5,1.3,0.849,2.75925,0.0543,0.176475,1
,,,,1986,,,,,,,1,2,,6,10,,,,,,,,,,2,2.5,5,1.28,0.826,2.6432,0.0501,0.16032,1
,,,,1986,,,,,,,1,2,,6,10,,,,,,,,,,3,5,10,1.43,0.895,6.39925,0.0422,0.30173,1
,,,,1986,,,,,,,1,2,,6,10,,,,,,,,,,4,10,20,1.34,1.033,13.8422,0.0109,0.14606,1
,,,,1986,,,,,,,1,3,,6,10,,,,,,,,,,1,0,2.5,1.15,1.721,4.947875,0.0866,0.248975,1
,,,,1986,,,,,,,1,3,,6,10,,,,,,,,,,2,2.5,5,1.17,1.56,4.563,0.0607,0.1775475,1
,,,,1986,,,,,,,1,3,,6,10,,,,,,,,,,3,5,10,1.31,1.354,8.8687,0.0072,0.04716,1
,,,,1986,,,,,,,1,3,,6,10,,,,,,,,,,4,10,20,1.47,1.033,15.1851,0.0481,0.70707,1
,,,,1986,,,,,,,1,1,,9,11,,,,,,,,,,1,0,2.5,1.16,0.7685,2.22865,0.0606,0.17574,1
,,,,1986,,,,,,,1,1,,9,11,,,,,,,,,,2,2.5,5,1.17,0.7109,2.0793825,0.0826,0.241605,1
,,,,1986,,,,,,,1,1,,9,11,,,,,,,,,,3,5,10,1.53,0.6917,5.291505,0.0826,0.63189,1
,,,,1986,,,,,,,1,1,,9,11,,,,,,,,,,4,10,20,1.41,0,0,0.09,1.269,1
